id,partner_name,party_type_id,partner_name_ja
0,"BUCKET PIM COMPANY (please move all regional companies from here)",2,
1,"10TONS LTD.",2,
2,"11 BIT STUDIOS",2,
3,17-BIT,2,"17-BIT GAMES (HAUNTED TEMPLE STUDIOS, INC.)"
4,"24 CARET GAMES",2,
5,"2DREAM CORPORATION",2,
6,"505 GAMES",2,
7,"AABS INC",2,アーヴズ株式会社
8,"ABSTRACTION GAMES B.V.",2,
9,"ACTIVE GAMING MEDIA INC.",2,株式会社アクティブゲーミングメディア
10,"ACTIVISION INC",2,アクティビジョン株式会社
11,"ADL TEST COMPANY",2,"ADL GO LIVE TEST COMPANY"
12,"AGATSUMA CO.LTD.",2,株式会社アガツマ
13,"AGETEC EUROPE LTD",2,
14,"AKSYS GAMES LOCALIZATION INC.",2,
15,"ALAWAR ENTERTAINMENT",2,
16,"ALIEN TRAP GAMES",2,
17,"AMANITA DESIGN S.R.O.",2,
18,"AMAZON DEVELOPMENT CENTRE (LONDON) LIMITED",2,"AMAZON.COM INT'L SALES, INC."
19,"ANOZOR SARL",2,
20,"ARC SYSTEM WORKS",2,アークシステムワークス株式会社
21,ATARI,2,
22,ATLUS,2,
23,"ATOM REPUBLIC",2,アトムリパブリック
24,"ATOMICOM LIMITED",2,
25,"AUTUMN GAMES",2,
26,"AYEWARE AB",2,
27,BAKNO,2,
28,"BAL HOLDING LIMITED",2,
29,"BANDAI NAMCO ENTERTAINMENT",2,株式会社バンダイナムコエンターテインメント
30,"BBC WORLDWIDE LTD",2,
31,"BEATSHAPERS LTD.",2,
32,"BEAUTIFUN GAMES SL",2,
33,"BENJAMIN RIVERS INC.",2,
34,"BIART DESIGN STUDIO",2,
35,"BIG ANT STUDIOS PTY LIMITED",2,
36,"BIG HEAD GAMES LIMITED",2,
37,"BIG SANDWICH GAMES",2,
38,"BIGBEN INTERACTIVE",2,
39,BIMBOOSOFT,2,有限会社びんぼうソフト
40,"BIP MEDIA",2,
41,"BITBOX S.L.",2,
42,BITCOMPOSER,2,
43,"BLACK FOREST GAMES GMBH",2,
44,"BLACK LAB GAME TECH PTY LTD",2,
45,"BLITWORKS SL",2,
46,"BLOOBER TEAM S.A.",2,ブルーバーチーム
47,"BLUE ISLE STUDIOS INC.",2,
48,"BORN READY GAMES, LTD.",2,
49,"BOSSA STUDIOS LIMITED",2,
50,"BREAKFALL INC.",2,
51,CAPCOM,2,株式会社カプコン
52,"CAPYBARA GAMES",2,"CAPYBARA GAMES INC"
53,"CASUAL BROTHERS LIMITED",2,
54,"CCP GAMES",2,"CCP GAMES UK LIMITED"
55,"CD PROJEKT",2,
56,"CELLAR DOOR GAMES INC.",2,"CELLAR DOOR GAMES"
57,"CHERRY POP GAMES LIMITED",2,
58,"CHILLINGO LTD",2,
59,"CIPHER PRIME STUDIOS",2,
60,CODEMASTERS,2,コードマスターズ株式会社
61,"COHORT STUDIOS LIMITED",2,
62,"COLD BEAM GAMES LTD",2,
63,"COLLECTING SMILES INC.",2,
64,COMPLETE-IT,2,
65,"COMPULSION GAMES",2,コンパルシオンゲームス
66,"CONSPIRACY ENTERTAINMENT",2,
67,"CORECELL TECHNOLOGY CO.,LTD.",2,
68,"COWBOY RODEO LTD",2,
69,"CRAVE ENTERTAINMENT INC",2,
70,"CREAT STUDIOS",2,
71,"CROCODILE ENTERTAINMENT S.L.",2,
72,"CRYSTAL GAMES",2,
73,"CURVE DIGITAL PUBLISHING LTD.",2,
74,"CURVE STUDIOS LIMITED",2,
75,"CYBERFRONT KOREA CORPORATION",2,"CYBERFRONT KOREA CORPORATION"
76,"CYBERNATE PTY LTD",2,
77,"D2C GAMES, INC",2,
78,"D3 PUBLISHER",2,株式会社ディースリー・パブリッシャー
79,"DAILY MOTION SA",2,デイリーモーション
80,"DAKKO DAKKO LTD",2,
81,"DEFIANT DEVELOPMENT",2,
82,"DESERT OWL GAMES, LLC",2,
83,"DIFFERENT TUNA LTD",2,
84,"DIGITAL DREAMS V.O.F.",2,"DIGITAL DREAMS V.O.F."
85,"DIGITAL EXTREMES",2,"DIGITAL EXTREMES"
86,"DIGITAL GOLDFISH LTD",2,
87,"DIGITAL LEISURE",2,
88,"DIGITAL LOUNGE",2,
89,"DIGITAL REALITY PUBLISHING KFT.",2,
90,"DIGITAL TALES",2,
91,"DISNEY INTERACTIVE INC",2,"DISNEY INTERACTIVE"
92,"DISRUPTIVE MEDIA PUBLISHERS",2,
93,"DISSIDENT LOGIC",2,
94,"DOCTOR ENTERTAINMENT AB",2,
95,"DOUBLE ELEVEN LIMITED",2,ダブルイレブン
96,"DOUBLE FINE PRODUCTIONS INC.",2,"DOUBLE FINE PRODUCTIONS"
97,"DREAMCATCHER INTERACTIVE INC.",2,
98,"DREAMLOOP GAMES OY",2,
99,"DRINKBOX STUDIOS",2,
100,"DTP ENTERTAINMENT AG",2,
101,"EASTASIASOFT LTD",2,"EASTASIASOFT LIMITED"
102,"EDGE OF REALITY",2,
103,"EICONIC GAMES LIMITED",2,
104,"EKO SOFTWARE SARL",2,
105,"ELECTRONIC ARTS",2,エレクトロニック・アーツ株式会社
106,"E-LINE MEDIA",2,
107,"EMPIRE INTERACTIVE EUROPE LTD",2,
108,"ENIGMA SOFTWARE PRODUCTIONS",2,
109,"EPIC GAMES",2,
111,"ERTEM YAZILIM",2,
112,"ESCAPE HATCH ENTERTAINMENT",2,
113,"EUTECHNYX LTD",2,
114,"EVOLVED GAMES",2,
115,"EXOR STUDIOS",2,
116,"FAIR PLAY LABS S.A.",2,
117,"FALLEN TREE GAMES",2,
118,"FARSIGHT TECHNOLOGIES",2,
119,"FATSHARK AB",2,
120,"FINAL FORM, LLC",2,
121,"FINISH LINE GAMES INC",2,
122,"FLIPPFLY LLC",2,
123,"FLYING TIGER ENTERTAINMENT",2,
124,"FLYING WILD HOG SP. Z O. O.",2,
125,"FOCUS HOME INTERACTIVE",2,
126,"FORGE REPLY S.R.L.",2,
127,"FRIMA STUDIO",2,"FRIMA STUDIO INC"
128,"FROGMIND OY",2,
129,"FROMSOFTWARE INC.",2,株式会社フロム・ソフトウェア
130,"FROZENBYTE LTD",2,
131,"FUNBOX MEDIA LIMITED",2,
132,"FUNFIA INC",2,ファンフィア
133,FUNTANK,2,
134,"FUTURLAB LIMITED",2,
135,"G5 ENTERTAINMENT AB",2,
136,"GAIJIN ENTERTAINMENT",2,
137,"GAIJIN GAMES",2,
138,"GAIJIN NETWORK LTD",2,
139,"GAME FACTORY INTERACTIVE LIMITED",2,
140,"GAME REPUBLIC LTD",2,株式会社ゲームリパブリック
141,"GAMECOCK MEDIA EUROPE LTD",2,
142,"HUUUGE GAMES SP. Z O.O.",2,
143,"GAMELOFT S.E.",2,ゲームロフト株式会社
144,"GAMEMILL ENTERTAINMENT",2,
145,"GAMETRUST GAMES",2,
146,"GAMIOUS B.V.",2,
147,"GELID GAMES",2,
148,"DEVOLVER DIGITAL",2,"GHI MEDIA LLC, (DEVOLVER DIGITAL)"
149,"GIANT MEDIAGROUP",2,
150,"GIANTS SOFTWARE GMBH",2,
151,"GOOGLE SARL",2,グーグル株式会社
152,"GREEN HILL, BV",2,
153,"GRIMM BROS, LLC",2,
154,"GRIP DIGITAL",2,
155,"GUN MEDIA HOLDINGS, INC",2,
156,"GUNGHO ONLINE ENTERTAINMENT",2,ガンホー・オンライン・エンターテイメント株式会社
157,"HALFBRICK STUDIOS PTY LTD",2,
158,"HANDCIRCUS LTD",2,
159,"HANDS-ON MOBILE INC.",2,
160,"HAPPY DANCE GAMES INC.",2,
161,"HARMONIX MUSIC SYSTEMS",2,
163,"HELLO GAMES",2,"HELLO GAMES LTD"
164,"HIDDEN ELEPHANT INC.",2,
165,"HIP INTERACTIVE SA",2,
166,"HONEYSLUG LIMITED",2,
167,"HOPLITE RESEARCH",2,
168,"HOTHEAD GAMES",2,
169,"HUDSON SOFT CO., LTD",2,株式会社ハドソン
170,"HUMBLE HEARTS LLC",2,
171,"HYDRAVISION ENTERTAINMENT SA",2,
172,"HYPERSECT LLC",2,
173,"IDEA FACTORY INTERNATIONAL",2,アイディアファクトリー株式会社
174,"IDEAS PAD LTD",2,
175,"I-FRIQIYA FZ-LLC",2,
176,"IFUN4ALL S.A.",2,
177,"IGN ENTERTAINMENT UK LIMITED",2,
178,"IGNITION ENTERTAINMENT",2,イグニッション・エンターテイメント・リミテッド
179,"IMAGE & FORM INTERNATIONAL",2,
180,"IMMERSIVE GAMES",2,
181,"IMPRESSIONWARE SRL",2,
182,"IN|FRAMEZ TECHNOLOGY CORP.",2,
183,"INFINITE DREAMS SP. Z O.O.",2,
184,"INFINITE INTERACTIVE PTY. LTD.",2,
185,"INFINITE STATE GAMES LTD",2,
186,"INTERPLAY ENTERTAINMENT CORP.",2,
187,"INVICTUS GAMES LTD",2,
